File Name,Dataset,aid,Date,Orbit Number,Build ID,Scene ID,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2018215221249_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2018-08-03 22:12:49 UTC,00437,0601,005,779778.0,32.5895,1879.8503,"(32.5895,1879.8503)",124.3177,48.741,2375.6815,148.0762,234.3977,116.2248,32.5895,90.5284
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2018218211322_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2018-08-06 21:13:22 UTC,00483,0601,005,1169440.0,42.7896,384.7906,"(42.7896,384.7906)",162.5774,36.8562,1358.3762,188.8666,259.7503,167.0611,70.7068,141.6026
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2018221201403_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2018-08-09 20:14:03 UTC,00529,0601,009,128173.0,83.1914,269.3585,"(83.1914,269.3585)",185.3567,22.7036,515.4549,199.0553,232.6827,191.0482,143.0016,176.6324
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2018222192228_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2018-08-10 19:22:28 UTC,00544,0601,005,406234.0,36.5997,305.2712,"(36.5997,305.2712)",183.7871,43.4474,1887.6732,213.1857,288.2091,193.3718,87.7878,163.0238
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2018225182301_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2018-08-13 18:23:01 UTC,00590,0601,005,1368098.0,60.2967,1990.4633,"(60.2967,1990.4633)",179.8578,30.6684,940.5514,199.6142,250.8557,183.5563,114.1968,165.4458
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2018228235228_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2018-08-16 23:52:28 UTC,00640,0601,009,46193.0,44.2762,369.5266,"(44.2762,369.5266)",104.5091,39.5873,1567.1564,117.5749,172.8158,103.6509,44.2762,80.5788
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2018231225350_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2018-08-19 22:53:50 UTC,00686,0601,014,624106.0,2.0559,219.0955,"(2.0559,219.0955)",53.859,19.3765,375.4499,69.6123,112.6396,49.2655,2.0559,40.921
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2018232153216_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2018-08-20 15:32:16 UTC,00697,0601,005,1609661.0,63.7956,224.7767,"(63.7956,224.7767)",95.6732,13.3745,178.8773,102.6451,127.1456,93.7987,63.7956,86.3113
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2018232220123_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2018-08-20 22:01:23 UTC,00701,0601,007,138641.0,54.5677,300.0313,"(54.5677,300.0313)",124.7237,29.9677,898.0625,144.9438,211.882,132.1622,54.5677,100.3012
ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_doy2018235210216_aid0001,EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,aid0001,2018-08-23 21:02:16 UTC,00747,0601,007,699250.0,41.5788,1903.7261,"(41.5788,1903.7261)",122.5466,31.5363,994.5353,142.8286,210.8159,125.4682,41.5788,97.5015
